Marca,Veículo,Categoria,Ano lançamento,Preço médio hoje (R$),Consumo médio (km/l),Potência (cv),Porta-malas/Caçamba,Manutenção,Desvalorização,Segurança
BYD,BYD Dolphin,Hatch,2023,150–170 mil,15–18 (EV),95–130,345 L,Baixa,Baixa,Excelente
BYD,BYD Dolphin Mini,Hatch,2024,115–130 mil,15–18 (EV),95,230 L,Baixa,Baixa,Excelente
BYD,BYD Song Plus DM-i,SUV,2021,220–240 mil,15–18 (H),180,574 L,Média,Baixa,Excelente
BYD,BYD Song Pro,SUV,2023,200–230 mil,14–17 (H),180,574 L,Média,Baixa,Excelente
CAOA,CAOA Chery Tiggo 5X,SUV,2018,126–141 mil,7–12 (G/E),147–150,340 L,Média,Alta,Boa
CAOA,CAOA Chery Tiggo 7,SUV,2017,150–170 mil,8–12 (G/E),157,475 L,Média,Alta,Boa
CAOA,CAOA Chery Tiggo 8,SUV,2019,180–210 mil,7–11 (G/E/H),187,193 L,Média,Alta,Boa
Chevrolet,Chevrolet Cruze Sedan,Sedan,2011,110–130 mil,8–14 (G/E),150–153,440 L,Média,Média,Boa
Chevrolet,Chevrolet Montana,Picape,2003,115–135 mil,10–12 (G/E),133,874 L,Média,Média,Boa
Chevrolet,Chevrolet Onix,Hatch,2012,82–95 mil,"11,5–13,9 (G/E)",82–116,275 L,Acessível,Média,Boa
Chevrolet,Chevrolet Onix Plus,Sedan,2019,95–110 mil,"10,5–13,5 (G/E)",116,469 L,Acessível,Média,Boa
Chevrolet,Chevrolet S10,Picape,1995,180–240 mil,8–11 (D),180–200,1061 L,Cara,Baixa,Excelente
Chevrolet,Chevrolet Spin,Minivan,2012,110–130 mil,9–12 (G/E),106–111,710 L,Média,Média,Boa
Chevrolet,Chevrolet Tracker,SUV,2013,130–160 mil,9–12 (G/E),116–133,393 L,Média,Média,Boa
Citroën,Citroën Basalt,SUV,2024,120–140 mil,11–13 (G/E),130,410 L,Média,Média,Boa
Citroën,Citroën C3,Hatch,2002,75–95 mil,11–13 (G/E),82–120,300 L,Média,Alta,Regular
Citroën,Citroën C4 Cactus,SUV,2018,95–117 mil,10–16 (G/E),118–173,320 L,Média,Alta,Boa
Fiat,Fiat Argo,Hatch,2017,80–95 mil,"11–13,5 (G/E)",77–109,300 L,Acessível,Média,Boa
